user_id,total_messages,toxic_messages,avg_toxicity,user_profile,join_days_ago
borderline_0,9,1,0.2033950686454773,borderline,79
borderline_1,8,2,0.20000000298023224,borderline,73
borderline_10,7,1,0.13809524050780705,borderline,69
borderline_100,15,2,0.11079365313053131,borderline,37
borderline_101,14,2,0.15918367675372533,borderline,18
borderline_102,11,1,0.09531680562279442,borderline,49
borderline_103,5,0,0.04000000059604644,borderline,80
borderline_104,16,1,0.0625,borderline,84
borderline_105,10,3,0.19159625023603438,borderline,51
borderline_106,9,0,0.051851853728294366,borderline,30
borderline_107,19,2,0.09256966137572338,borderline,14
borderline_108,17,0,0.04901960842749652,borderline,20
borderline_109,9,2,0.15555555290646023,borderline,66
borderline_11,7,0,0.13809524050780705,borderline,83
borderline_110,17,3,0.12424242759452146,borderline,10
borderline_111,7,1,0.23809524306229182,borderline,23
borderline_112,13,1,0.1076923070045618,borderline,88
borderline_113,15,2,0.15238095223903655,borderline,47
borderline_114,16,0,0.025000000372529026,borderline,49
borderline_115,14,1,0.07142857142857142,borderline,83
borderline_116,14,1,0.1382488485957895,borderline,12
borderline_117,10,1,0.10658483654260635,borderline,27
borderline_118,17,2,0.12585139186943278,borderline,79
borderline_119,11,0,0.018181818452748383,borderline,17
borderline_12,6,0,0.05000000198682148,borderline,42
borderline_120,18,1,0.07301587445868386,borderline,52
borderline_121,14,1,0.13571428614003317,borderline,82
borderline_122,12,0,0.025000000372529026,borderline,72
borderline_123,13,1,0.08461538415688735,borderline,72
borderline_124,18,1,0.15185185190704134,borderline,57
borderline_125,9,0,0.037037038140826754,borderline,12
borderline_126,10,1,0.10999999791383744,borderline,26
borderline_127,6,0,0.0,borderline,68
borderline_128,10,1,0.11833333671092987,borderline,11
borderline_129,20,4,0.19565727710723876,borderline,42
borderline_13,15,3,0.19866666793823243,borderline,66
borderline_130,13,0,0.041025642019051775,borderline,37
borderline_131,14,2,0.19042919895478658,borderline,53
borderline_132,13,0,0.025641026405187752,borderline,64
borderline_133,17,0,0.019607843721614164,borderline,28
borderline_134,9,0,0.04444444510671827,borderline,83
borderline_135,15,0,0.12444444596767426,borderline,64
borderline_136,8,0,0.05000000074505806,borderline,50
borderline_137,6,0,0.1333333340783914,borderline,25
borderline_138,11,1,0.06363636593927037,borderline,84
borderline_139,8,1,0.13379629887640476,borderline,74
borderline_14,13,1,0.12967032881883475,borderline,27
borderline_140,13,1,0.12084367412787217,borderline,13
borderline_141,9,1,0.14794795215129852,borderline,29
borderline_142,15,1,0.0905982921520869,borderline,59
borderline_143,13,1,0.12454212800814556,borderline,40
borderline_144,9,0,0.018518519070413377,borderline,15
borderline_145,14,3,0.17348777715648925,borderline,51
borderline_146,16,1,0.10625000018626451,borderline,27
borderline_147,11,1,0.10714285482059825,borderline,29
borderline_148,13,0,0.04871795039910536,borderline,11
borderline_149,11,1,0.07878788154233586,borderline,50
borderline_15,11,2,0.12207792699337006,borderline,46
borderline_150,13,4,0.27758184189979845,borderline,42
borderline_151,18,2,0.13434343619479072,borderline,22
borderline_152,13,0,0.028205128816457894,borderline,33
borderline_153,26,1,0.08589743650876559,borderline,38
borderline_154,17,2,0.1289464393082787,borderline,76
borderline_155,15,1,0.14000000258286793,borderline,65
borderline_156,13,0,0.06923077083550967,borderline,57
borderline_157,16,1,0.0666666692122817,borderline,57
borderline_158,6,0,0.0,borderline,55
borderline_159,19,2,0.11212121499212165,borderline,60
borderline_16,12,1,0.08479638987531264,borderline,63
borderline_160,15,2,0.13333333333333333,borderline,36
borderline_161,13,2,0.1336275740311696,borderline,83
borderline_162,10,1,0.13095238506793977,borderline,8
borderline_163,14,3,0.21241171338728496,borderline,43
borderline_164,10,1,0.1683333322405815,borderline,65
borderline_165,12,0,0.07222222288449605,borderline,51
borderline_166,11,1,0.0550964203747836,borderline,44
borderline_167,14,1,0.11904762099896159,borderline,26
borderline_168,12,0,0.013888889302810034,borderline,22
borderline_169,9,1,0.08888889021343654,borderline,23
borderline_17,9,1,0.1817404826482137,borderline,87
borderline_170,9,2,0.21249999933772618,borderline,57
borderline_171,15,5,0.25073015987873076,borderline,42
borderline_172,20,1,0.07052631452679634,borderline,21
borderline_173,12,1,0.1388888880610466,borderline,7
borderline_174,13,1,0.1410256429360463,borderline,16
borderline_175,11,1,0.09375848011537032,borderline,50
borderline_176,13,1,0.08717948886064383,borderline,73
borderline_177,16,0,0.03125000093132257,borderline,13
borderline_178,8,2,0.1587577983736992,borderline,39
borderline_179,13,0,0.012820513202593876,borderline,88
borderline_18,10,2,0.21817533671855927,borderline,22
borderline_180,14,1,0.14047619381121226,borderline,13
borderline_181,8,1,0.10000000335276127,borderline,79
borderline_182,7,1,0.17248677355902534,borderline,42
borderline_183,12,1,0.09050179397066434,borderline,15
borderline_184,14,1,0.08549783591713224,borderline,71
borderline_185,9,1,0.16666666832235125,borderline,7
borderline_186,18,0,0.06851851940155029,borderline,43
borderline_187,13,1,0.10512820745889957,borderline,50
borderline_188,8,1,0.16710993088781834,borderline,85
borderline_189,13,1,0.07179487038117188,borderline,36
borderline_19,18,2,0.1562500008278423,borderline,27
borderline_190,9,0,0.11851852138837178,borderline,29
borderline_191,14,0,0.04761904903820583,borderline,12
borderline_192,8,1,0.18750000186264515,borderline,54
borderline_193,14,0,0.030952381768396924,borderline,27
borderline_194,11,0,0.08181818236004222,borderline,46
borderline_195,12,2,0.18799283107121786,borderline,55
borderline_196,12,0,0.05833333358168602,borderline,31
borderline_197,15,2,0.21131313343842825,borderline,15
borderline_198,13,0,0.038461539607781633,borderline,20
borderline_199,15,1,0.1022222230831782,borderline,20
borderline_2,21,0,0.06666666836965651,borderline,50
borderline_20,12,2,0.13159722462296486,borderline,18
borderline_200,10,4,0.368656712770462,borderline,23
borderline_201,16,2,0.13152412604540586,borderline,76
borderline_202,7,0,0.15238095394202641,borderline,68
borderline_203,7,2,0.19523810275963374,borderline,10
borderline_204,16,0,0.04375000111758709,borderline,60
borderline_205,12,1,0.11111111442248027,borderline,18
borderline_206,17,1,0.07572867239222807,borderline,52
borderline_207,13,2,0.20512820780277252,borderline,18
borderline_208,14,1,0.10450680553913116,borderline,70
borderline_209,16,1,0.09375000186264515,borderline,61
borderline_21,13,2,0.16336032518973717,borderline,68
borderline_210,15,2,0.08755555550257364,borderline,14
borderline_211,9,0,0.07407407462596893,borderline,9
borderline_212,18,2,0.15576131559080547,borderline,50
borderline_213,19,2,0.08565980117571981,borderline,87
borderline_214,9,1,0.1374999980131785,borderline,61
borderline_215,18,2,0.1049159351322386,borderline,57
borderline_216,13,2,0.13497823247542748,borderline,86
borderline_217,13,1,0.06874566811781663,borderline,13
borderline_218,15,1,0.0768421043952306,borderline,26
borderline_219,9,0,0.04444444510671827,borderline,14
borderline_22,11,2,0.20552584799853238,borderline,67
borderline_220,13,1,0.07435897680429313,borderline,23
borderline_221,7,1,0.11428571811744145,borderline,74
borderline_222,14,1,0.14492363376276834,borderline,75
borderline_223,11,0,0.03030303120613098,borderline,65
borderline_224,11,2,0.17766831137917258,borderline,25
borderline_225,13,0,0.035897437196511485,borderline,38
borderline_226,8,0,0.1250000037252903,borderline,84
borderline_227,10,2,0.22999999970197677,borderline,35
borderline_228,8,2,0.20714285224676132,borderline,39
borderline_229,7,0,0.0428571445601327,borderline,60
borderline_23,12,2,0.13174603258570036,borderline,50
borderline_230,13,2,0.18204043690974897,borderline,86
borderline_231,14,2,0.1238095270735877,borderline,85
borderline_232,12,1,0.20000000422199568,borderline,21
borderline_233,10,1,0.12333333790302277,borderline,21
borderline_234,21,4,0.15813492309479488,borderline,55
borderline_235,13,0,0.05128205223725392,borderline,46
borderline_236,13,1,0.15897435866869414,borderline,9
borderline_237,16,2,0.13851351384073496,borderline,25
borderline_238,11,0,0.08787878941405904,borderline,59
borderline_239,15,2,0.1253365198771159,borderline,19
borderline_24,8,2,0.2416666690260172,borderline,18
borderline_240,13,1,0.0589743611904291,borderline,36
borderline_241,16,2,0.13333333190530539,borderline,89
borderline_242,11,0,0.1157575777985833,borderline,50
borderline_243,15,1,0.10222222208976746,borderline,31
borderline_244,12,1,0.10912698631485303,borderline,9
borderline_245,12,3,0.2819254162410895,borderline,78
borderline_246,9,1,0.1604938300119506,borderline,56
borderline_247,17,1,0.11162662243141848,borderline,12
borderline_248,14,3,0.1582773125597409,borderline,16
borderline_249,9,1,0.06666666931576198,borderline,14
borderline_25,13,1,0.11666666888273679,borderline,34
borderline_250,6,0,0.04696969812115034,borderline,58
borderline_251,17,1,0.07647058981306412,borderline,61
borderline_252,10,1,0.1199999988079071,borderline,29
borderline_253,17,2,0.10256046319709104,borderline,9
borderline_254,11,0,0.01515151560306549,borderline,47
borderline_255,12,1,0.1666666672875484,borderline,21
borderline_256,12,0,0.058333334823449455,borderline,30
borderline_257,11,3,0.2587568231604316,borderline,48
borderline_258,15,4,0.17822222411632538,borderline,77
borderline_259,12,1,0.10000000024835269,borderline,38
borderline_26,15,2,0.11333333651224772,borderline,65
borderline_260,10,1,0.10666667073965072,borderline,60
borderline_261,6,0,0.06666666766007741,borderline,40
borderline_262,15,1,0.11055555939674377,borderline,64
borderline_263,13,1,0.08717949000688699,borderline,68
borderline_264,9,2,0.24074073880910873,borderline,84
borderline_265,9,1,0.18659004237916735,borderline,43
borderline_266,15,2,0.19111111462116243,borderline,86
borderline_267,19,5,0.1862245351076126,borderline,48
borderline_268,9,1,0.12222222652700213,borderline,19
borderline_269,11,2,0.1575757549567656,borderline,77
borderline_27,14,1,0.10375939735344478,borderline,67
borderline_270,10,0,0.05833333283662796,borderline,45
borderline_271,11,1,0.1707261326638135,borderline,41
borderline_272,18,2,0.16481481658087838,borderline,37
borderline_273,11,1,0.1284090903672305,borderline,88
borderline_274,12,2,0.14572336276372275,borderline,27
borderline_275,13,1,0.12598752574278757,borderline,78
borderline_276,8,0,0.0416666679084301,borderline,62
borderline_277,13,2,0.22051281997790703,borderline,30
borderline_278,10,0,0.01666666716337204,borderline,55
borderline_279,10,1,0.1266666665673256,borderline,65
borderline_28,16,0,0.09375000186264515,borderline,76
borderline_280,9,2,0.21636364195081922,borderline,16
borderline_281,8,3,0.2739899009466171,borderline,80
borderline_282,11,2,0.17121212455359372,borderline,51
borderline_283,11,1,0.13787879185243088,borderline,68
borderline_284,14,1,0.0761904748422759,borderline,59
borderline_285,15,2,0.15535353720188141,borderline,12
borderline_286,10,0,0.03333333432674408,borderline,47
borderline_287,9,1,0.09365079800287883,borderline,11
borderline_288,15,3,0.1666666676600774,borderline,56
borderline_289,12,1,0.10555555609365304,borderline,86
borderline_29,11,1,0.05487293902445923,borderline,63
borderline_290,8,1,0.16601527482271194,borderline,57
borderline_291,15,1,0.1204804797967275,borderline,89
borderline_292,12,2,0.1611111102004846,borderline,25
borderline_293,16,2,0.13541666883975267,borderline,20
borderline_294,14,2,0.15476190724543162,borderline,70
borderline_295,18,0,0.09814815057648553,borderline,88
borderline_296,15,3,0.18138138155142466,borderline,44
borderline_297,12,1,0.08618618920445442,borderline,21
borderline_298,14,2,0.17936508091432707,borderline,42
borderline_299,18,0,0.04722222354676989,borderline,80
borderline_3,18,2,0.12474230511320962,borderline,85
borderline_30,11,1,0.12424242767420682,borderline,20
borderline_300,6,0,0.0,borderline,40
borderline_301,12,1,0.11501883094509442,borderline,37
borderline_302,12,1,0.09722222263614337,borderline,86
borderline_303,11,1,0.06274007667194713,borderline,24
borderline_304,9,1,0.12456140418847401,borderline,67
borderline_305,8,1,0.1749999988824129,borderline,85
borderline_306,16,2,0.12238849699497223,borderline,74
borderline_307,9,2,0.23918128510316214,borderline,78
borderline_308,14,1,0.09523809594767434,borderline,67
borderline_309,16,0,0.054166668094694614,borderline,21
borderline_31,9,1,0.15282273954815334,borderline,30
borderline_310,5,0,0.03333333432674408,borderline,77
borderline_311,18,1,0.10246913548972872,borderline,12
borderline_312,11,0,0.01515151560306549,borderline,36
borderline_313,12,2,0.18827160820364952,borderline,66
borderline_314,7,0,0.040043291236673065,borderline,24
borderline_315,18,3,0.22654914773172802,borderline,58
borderline_316,12,0,0.033333333830038704,borderline,88
borderline_317,13,1,0.1116370833837069,borderline,33
borderline_318,7,2,0.34033988629068646,borderline,29
borderline_319,19,1,0.07539242898163043,borderline,84
borderline_32,17,2,0.14444444591508193,borderline,19
borderline_320,10,1,0.10015873312950134,borderline,58
borderline_321,13,0,0.03589743662338991,borderline,35
borderline_322,13,0,0.06923077083550966,borderline,62
borderline_323,8,0,0.02083333395421505,borderline,65
borderline_324,16,2,0.14598958287388086,borderline,84
borderline_325,8,0,0.05833333544433116,borderline,51
borderline_326,9,0,0.0,borderline,8
borderline_327,8,1,0.12083333730697632,borderline,11
borderline_328,13,4,0.23614164384511802,borderline,9
borderline_329,10,0,0.03666666746139526,borderline,75
borderline_33,15,1,0.09000000059604644,borderline,47
borderline_330,12,0,0.008333333457509676,borderline,34
borderline_331,14,3,0.1952380963734218,borderline,7
borderline_332,8,2,0.16323529928922653,borderline,26
borderline_333,9,1,0.17777778373824227,borderline,7
borderline_334,17,5,0.3017957832883386,borderline,73
borderline_335,11,1,0.06363636255264282,borderline,71
borderline_336,6,0,0.027777778605620067,borderline,79
borderline_337,10,0,0.0,borderline,36
borderline_338,12,1,0.13941717892885208,borderline,28
borderline_339,12,0,0.06913919560611248,borderline,78
borderline_34,15,1,0.1463492085536321,borderline,69
borderline_340,16,1,0.08834459539502859,borderline,49
borderline_341,15,2,0.1463818113009135,borderline,77
borderline_342,12,0,0.0,borderline,34
borderline_343,19,2,0.10103668350922435,borderline,45
borderline_344,13,0,0.05128205166413234,borderline,87
borderline_345,14,3,0.20476190532956803,borderline,60
borderline_346,6,0,0.061111112435658775,borderline,83
borderline_347,17,1,0.0647058846319423,borderline,73
borderline_348,17,5,0.24859943898285136,borderline,80
borderline_349,8,1,0.14999999850988388,borderline,54
borderline_35,11,0,0.04242424395951357,borderline,86
borderline_350,12,1,0.1917534718910853,borderline,21
borderline_351,11,2,0.18694639070467514,borderline,66
borderline_352,9,0,0.04074074162377252,borderline,62
borderline_353,15,4,0.20903381903966267,borderline,73
